ciudad_municipio,unidad,tipo_unidad,codigo_cuadrante,cuadrante,numero_celular_cuadrante
SAN JOAQUIN,ESTACION DE POLICIA SAN JOAQUIN,ESTACION DE POLICIA SAN JOAQUIN,DESANMNVCCD01E11000000001,1,3143797855
SAN JOSE DE MIRANDA,ESTACION DE POLICIA SAN JOSE DE MIRANDA,ESTACION DE POLICIA SAN JOSE DE MIRANDA,DESANMNVCCD04E11000000001,1,3174675978
SAN MIGUEL,ESTACION DE POLICIA SAN MIGUEL,ESTACION DE POLICIA SAN MIGUEL,DESANMNVCCD04E12000000001,1,3112466348
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,DESANMNVCCD08E01000000001,1,3174597663
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,DESANMNVCCD08E01000000002,2,3153371274
SAN VICENTE DE CHUCURI,ESTACION DE POLICIA SAN VICENTE DE CHUCURI,SUBESTACION DE POLICIA YARIMA,DESANMNVCCD08E01S01000001,1,3204909674
SANTA BARBARA,ESTACION DE POLICIA SANTA BARBARA,ESTACION DE POLICIA SANTA BARBARA,DESANMNVCCD04E13000000001,1,3134210606
SANTA HELENA DEL OPON,ESTACION DE POLICIA SANTA HELENA DEL OPON,ESTACION DE POLICIA SANTA HELENA DEL OPON,DESANMNVCCD05E08000000001,1,3125963168
SIMACOTA,ESTACION DE POLICIA SIMACOTA,ESTACION DE POLICIA SIMACOTA,DESANMNVCCD02E13000000001,1,3108053385
SOCORRO,ESTACION DE POLICIA SOCORRO,ESTACION DE POLICIA SOCORRO,DESANMNVCCD02E01000000001,1,3153377828
SOCORRO,ESTACION DE POLICIA SOCORRO,ESTACION DE POLICIA SOCORRO,DESANMNVCCD02E01000000002,2,3172124594
SUAITA,ESTACION DE POLICIA SUAITA,ESTACION DE POLICIA SUAITA,DESANMNVCCD03E10000000001,1,3133819613
SUAITA,ESTACION DE POLICIA SUAITA,SUBESTACION DE POLICIA SAN JOSE DE SUAITA,DESANMNVCCD03E10S01000001,1,3204082919
SUAITA,ESTACION DE POLICIA SUAITA,SUBESTACION DE POLICIA VADO REAL,DESANMNVCCD03E10S02000001,1,3204082935
SUCRE,ESTACION DE POLICIA SUCRE,ESTACION DE POLICIA SUCRE,DESANMNVCCD03E11000000001,1,3143882155
SUCRE,ESTACION DE POLICIA SUCRE,SUBESTACION DE POLICIA LA GRANJA,DESANMNVCCD03E11S01000001,1,3138294993
SURATA,ESTACION DE POLICIA SURATA,ESTACION DE POLICIA SURATA,DESANMNVCCD09E04000000001,1,3123297839
TONA,ESTACION DE POLICIA TONA,ESTACION DE POLICIA TONA,DESANMNVCCD09E05000000001,1,3124407147
TONA,ESTACION DE POLICIA TONA,SUBESTACION DE POLICIA BERLIN,DESANMNVCCD09E05S01000001,1,3144654137
VALLE DE SAN JOSE,ESTACION DE POLICIA VALLE DE SAN JOSE,ESTACION DE POLICIA VALLE DE SAN JOSE,DESANMNVCCD10E03000000001,1,3133382385
VELEZ,ESTACION DE POLICIA VELEZ,ESTACION DE POLICIA VELEZ,DESANMNVCCD05E01000000001,1,3186784159
VELEZ,ESTACION DE POLICIA VELEZ,ESTACION DE POLICIA VELEZ,DESANMNVCCD05E01000000002,2,3153160637
VETAS,ESTACION DE POLICIA VETAS,ESTACION DE POLICIA VETAS,DESANMNVCCD09E06000000001,1,3202092904
VILLANUEVA,ESTACION DE POLICIA VILLANUEVA,ESTACION DE POLICIA VILLANUEVA,DESANMNVCCD01E04000000001,1,3143849395
ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,DESANMNVCCD08E04000000001,1,3143976019
ZAPATOCA,ESTACION DE POLICIA ZAPATOCA,SUBESTACION DE POLICIA LA FUENTE,DESANMNVCCD08E04S01000001,1,3115426159
