codigo_municipio,municipio,cluster_final,total_delitos_tasa,HURTOS_tasa,LESIONES_tasa,VIOLENCIA INTRAFAMILIAR_tasa,HOMICIDIOS_tasa,AMENAZAS_tasa,log_densidad,log_area,centros_por_km2,proporcion_menores,proporcion_adultos,proporcion_adolescentes
68217,COROMORO,0,4953.287996156323,413.55725205100225,2030.1901464321932,1372.2581545328715,103.38931301275056,347.7640528610701,3.291280088336611,6.360431193114905,0.003463228974127688,0.1870712402467146,0.7508853522071273,0.062043407546158065
68229,CURITÍ,0,8340.611602988944,1285.2567944787902,4007.615068016143,1285.2567944787902,222.3440024203814,900.2220585800809,4.571777854163993,5.502166928258141,0.00409462285196421,0.1784620396003494,0.7622884418690686,0.05924951853058193
68235,EL CARMEN DE CHUCURI,0,3758.5417946231514,275.41039012324813,936.3953264190438,1023.8786268111344,106.92403381255517,599.4226137976577,3.7461536966252718,6.829829005534825,0.0054110643638131724,0.1979218196010361,0.7348186860757222,0.06725949432324153
68245,EL GUACAMAYO,0,4947.804411792267,263.88290196225427,989.5608823584535,1352.399872556553,32.98536274528178,1253.4437843207077,3.8568737936063653,4.542950362450477,0.021512864182909826,0.1796536219024339,0.7595384640154155,0.06080791408215067
68250,EL PEÑÓN,1,5254.188258366581,334.0070775489759,1670.0353877448792,757.9391375149836,385.39278178727983,1644.3425356257271,3.3260981401173595,5.989506998965224,0.012555944686450722,0.22793097418301644,0.6940306092620419,0.07803841655494173
68255,EL PLAYÓN,1,9461.22474724421,846.2539912812878,4336.394675820264,1755.5828142108703,452.03629347944565,988.172362489951,4.020157261780283,6.122453161478413,0.017583116236759514,0.2050251976060978,0.7270457889556884,0.06792901343821388
68264,ENCINO,0,3316.7996965440093,297.02683849647843,1163.3551174445404,841.5760424066889,99.0089461654928,222.77012887235884,2.636266276696693,5.995039876536181,0.004994597201648686,0.19257004103231654,0.7473674753443589,0.06006248362332454
68266,ENCISO,0,4174.759795923653,288.5778660776719,1750.7057208712092,769.540976207125,250.1008172673156,500.2016345346312,4.586173093471762,4.328309778642426,0.026732238233138656,0.16579305853502666,0.773694966815075,0.06051197464989837
68271,FLORIÁN,0,5792.6816788174765,683.4062654784663,2169.543699931639,1171.5535979630852,130.17262199589834,1149.8581609637686,4.287882764989467,5.179531888743121,0.022650100856453467,0.19519276341732134,0.7373774979557333,0.06742973862694548
68276,FLORIDABLANCA,2,12419.931984656776,4365.545756176595,4033.519652558848,2563.185284032836,161.6782014793543,634.0597292799025,8.557540507251698,4.6183602046089085,0.05980399893366025,0.15174607469377713,0.7903249242722445,0.05792900103397828
